season,team,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT
2008-09,Atlanta Hawks,0.573,44.2,14.1,1.7,108.3,106.7,0.546
2008-09,Boston Celtics,0.756,45.7,16.9,8.1,109.5,101.6,0.571
2008-09,Brooklyn Nets,0.415,43.4,14.3,-2.7,106.8,109.5,0.543
2008-09,Charlotte Hornets,0.427,43.9,17.3,-1.4,103.7,105,0.536
2008-09,Charlotte Bobcats,0.427,43.9,17.3,-1.4,103.7,105,0.536
2008-09,Chicago Bulls,0.5,44.2,15.3,-0.3,107.2,107.5,0.541
2008-09,Cleveland Cavaliers,0.805,46.8,14.1,9.9,111.2,101.6,0.56
2008-09,Dallas Mavericks,0.61,45.8,13.6,2.1,109,107,0.55
2008-09,Denver Nuggets,0.659,43.5,16,3.6,109,105.6,0.563
2008-09,Detroit Pistons,0.476,46.5,13.3,-0.5,105.8,106.4,0.524
2008-09,Golden State Warriors,0.354,41.8,14.6,-3.7,108,111.7,0.549
2008-09,Houston Rockets,0.646,46.8,15.4,4.4,107.1,102.9,0.548
2008-09,Indiana Pacers,0.439,44.6,14.8,-1.1,107.2,108.2,0.545
2008-09,LA Clippers,0.232,42.3,15.8,-9.3,101,110.1,0.52
2008-09,Los Angeles Clippers,0.232,42.3,15.8,-9.3,101,110.1,0.52
2008-09,Los Angeles Lakers,0.793,45.7,14,8,111.4,103.5,0.555
2008-09,Memphis Grizzlies,0.293,42.3,16.6,-6,102.3,108.2,0.533
2008-09,Miami Heat,0.524,42.9,13.6,0.3,106.8,106.5,0.54
2008-09,Milwaukee Bucks,0.415,43.2,14.9,-1.2,105.2,106.3,0.531
2008-09,Minnesota Timberwolves,0.293,44.7,15.2,-5.3,104.9,109.9,0.526
2008-09,New Jersey Nets,0.415,43.4,14.3,-2.7,106.8,109.5,0.543
2008-09,New Orleans Hornets,0.598,44.6,14.1,1.7,107.6,105.8,0.548
2008-09,New Orleans Pelicans,0.598,44.6,14.1,1.7,107.6,105.8,0.548
2008-09,New York Knicks,0.39,42.8,14.6,-2.7,107,109.4,0.544
2008-09,Oklahoma City Thunder,0.28,44.6,17,-6.4,101.4,107.6,0.521
2008-09,Orlando Magic,0.72,46.4,14.9,7.2,108.3,101.3,0.559
2008-09,Philadelphia 76ers,0.5,44.9,15.4,0.1,106.3,106.1,0.532
2008-09,Phoenix Suns,0.561,42.8,16.1,2,112.4,110.4,0.584
2008-09,Portland Trail Blazers,0.659,47,14.5,6,112.1,106.1,0.553
2008-09,Sacramento Kings,0.207,40.6,16,-9.1,104.4,113.4,0.542
2008-09,San Antonio Spurs,0.659,45.5,13,4.2,107.6,103.4,0.548
2008-09,Toronto Raptors,0.402,43.1,14.3,-3,105.5,108.6,0.542
2008-09,Utah Jazz,0.585,43,15.5,2.8,108.5,105.8,0.554
2008-09,Washington Wizards,0.232,43.4,15.1,-8.1,104,112.1,0.524
2009-10,Atlanta Hawks,0.646,45.5,13,5.1,111,106,0.545
