season,team,W_PCT,NET_RATING,PLUS_MINUS,E_NET_RATING,PIE,E_OFF_RATING,PTS,OFF_RATING,TS_PCT,E_DEF_RATING
2008-09,Atlanta Hawks,0.573,1.7,1.7,2.0,0.507,106.6,108.3,108.3,0.546,104.6
2008-09,Boston Celtics,0.756,7.9,8.1,8.7,0.562,108.1,109.5,109.5,0.571,99.4
2008-09,Brooklyn Nets,0.415,-2.7,-2.7,-2.8,0.474,105.4,106.8,106.8,0.543,108.2
2008-09,Charlotte Hornets,0.427,-1.3,-1.4,-1.8,0.495,101.6,103.7,103.7,0.536,103.4
2008-09,Charlotte Bobcats,0.427,-1.3,-1.4,-1.8,0.495,101.6,103.7,103.7,0.536,103.4
2008-09,Chicago Bulls,0.5,-0.3,-0.3,-0.7,0.499,105.1,107.2,107.2,0.541,105.8
2008-09,Cleveland Cavaliers,0.805,9.6,9.9,10.3,0.559,109.7,111.2,111.2,0.56,99.4
2008-09,Dallas Mavericks,0.61,2.0,2.1,2.8,0.522,108.1,109.0,109.0,0.55,105.3
2008-09,Denver Nuggets,0.659,3.4,3.6,4.0,0.529,107.5,109.0,109.0,0.563,103.5
2008-09,Detroit Pistons,0.476,-0.6,-0.5,-0.8,0.496,104.5,105.8,105.8,0.524,105.2
2008-09,Golden State Warriors,0.354,-3.7,-3.7,-3.5,0.478,106.6,108.0,108.0,0.549,110.1
2008-09,Houston Rockets,0.646,4.2,4.4,4.0,0.53,105.4,107.1,107.1,0.548,101.4
2008-09,Indiana Pacers,0.439,-1.0,-1.1,-1.2,0.489,105.4,107.2,107.2,0.545,106.5
2008-09,LA Clippers,0.232,-9.2,-9.3,-9.2,0.441,99.5,101.0,101.0,0.52,108.8
2008-09,Los Angeles Clippers,0.232,-9.2,-9.3,-9.2,0.441,99.5,101.0,101.0,0.52,108.8
2008-09,Los Angeles Lakers,0.793,7.9,8.0,7.9,0.547,109.8,111.4,111.4,0.555,101.9
2008-09,Memphis Grizzlies,0.293,-6.0,-6.0,-5.9,0.457,100.9,102.3,102.3,0.533,106.8
2008-09,Miami Heat,0.524,0.3,0.3,0.4,0.505,105.1,106.8,106.8,0.54,104.7
2008-09,Milwaukee Bucks,0.415,-1.1,-1.2,-1.2,0.485,103.8,105.2,105.2,0.531,104.9
2008-09,Minnesota Timberwolves,0.293,-5.0,-5.3,-6.5,0.453,102.6,104.9,104.9,0.526,109.1
2008-09,New Jersey Nets,0.415,-2.7,-2.7,-2.8,0.474,105.4,106.8,106.8,0.543,108.2
2008-09,New Orleans Hornets,0.598,1.8,1.7,2.0,0.515,106.2,107.6,107.6,0.548,104.1
2008-09,New Orleans Pelicans,0.598,1.8,1.7,2.0,0.515,106.2,107.6,107.6,0.548,104.1
2008-09,New York Knicks,0.39,-2.5,-2.7,-3.1,0.467,105.3,107.0,107.0,0.544,108.4
2008-09,Oklahoma City Thunder,0.28,-6.2,-6.4,-7.0,0.464,99.9,101.4,101.4,0.521,106.9
2008-09,Orlando Magic,0.72,7.1,7.2,8.3,0.545,107.2,108.3,108.3,0.559,98.9
2008-09,Philadelphia 76ers,0.5,0.2,0.1,0.0,0.503,104.7,106.3,106.3,0.532,104.7
2008-09,Phoenix Suns,0.561,2.0,2.0,2.6,0.525,111.2,112.4,112.4,0.584,108.5
2008-09,Portland Trail Blazers,0.659,6.0,6.0,6.2,0.531,110.7,112.1,112.1,0.553,104.5
2008-09,Sacramento Kings,0.207,-9.0,-9.1,-9.3,0.44,102.6,104.4,104.4,0.542,111.9
2008-09,San Antonio Spurs,0.659,4.2,4.2,4.3,0.523,106.2,107.6,107.6,0.548,102.0
2008-09,Toronto Raptors,0.402,-3.0,-3.0,-2.8,0.492,104.3,105.5,105.5,0.542,107.1
2008-09,Utah Jazz,0.585,2.7,2.8,2.5,0.535,107.1,108.5,108.5,0.554,104.7
2008-09,Washington Wizards,0.232,-8.1,-8.1,-8.9,0.448,102.3,104.0,104.0,0.524,111.2
2009-10,Atlanta Hawks,0.646,4.9,5.1,4.9,0.523,108.9,111.0,111.0,0.545,104.0
2009-10,Boston Celtics,0.61,3.7,3.9,4.3,0.54,105.4,106.9,106.9,0.564,101.1
2009-10,Brooklyn Nets,0.146,-9.6,-9.8,-10.0,0.429,98.1,99.3,99.3,0.509,108.0
2009-10,Charlotte Hornets,0.537,1.9,1.6,1.3,0.518,101.5,103.9,103.9,0.538,100.2
2009-10,Charlotte Bobcats,0.537,1.9,1.6,1.3,0.518,101.5,103.9,103.9,0.538,100.2
2009-10,Chicago Bulls,0.5,-1.6,-1.7,-1.8,0.5,100.8,102.6,102.6,0.52,102.6
2009-10,Cleveland Cavaliers,0.744,6.8,7.1,7.3,0.552,108.8,110.6,110.6,0.57,101.5
2009-10,Dallas Mavericks,0.671,2.8,2.9,4.0,0.534,107.1,107.8,107.8,0.552,103.2
2009-10,Denver Nuggets,0.646,4.4,4.3,4.0,0.524,108.7,110.8,110.8,0.561,104.7
2009-10,Detroit Pistons,0.329,-5.9,-5.7,-6.5,0.448,102.4,104.5,104.5,0.515,108.9
2009-10,Golden State Warriors,0.317,-3.3,-3.5,-3.9,0.47,105.4,107.0,107.0,0.557,109.4
2009-10,Houston Rockets,0.512,0.0,-0.4,-1.0,0.489,104.5,106.8,106.8,0.537,105.5
2009-10,Indiana Pacers,0.39,-3.0,-3.1,-2.9,0.476,101.3,103.0,103.0,0.536,104.2
2009-10,LA Clippers,0.354,-6.8,-6.8,-6.3,0.465,100.9,102.3,102.3,0.529,107.1
2009-10,Los Angeles Clippers,0.354,-6.8,-6.8,-6.3,0.465,100.9,102.3,102.3,0.529,107.1
2009-10,Los Angeles Lakers,0.695,4.9,5.0,4.9,0.529,105.9,107.6,107.6,0.538,101.1
2009-10,Memphis Grizzlies,0.488,-1.5,-1.6,-2.9,0.486,104.8,107.5,107.5,0.536,107.6
2009-10,Miami Heat,0.573,2.4,2.5,3.6,0.522,104.5,105.7,105.7,0.537,100.9
2009-10,Milwaukee Bucks,0.561,2.1,1.8,1.0,0.495,102.0,104.0,104.0,0.518,100.9
2009-10,Minnesota Timberwolves,0.183,-9.8,-9.8,-10.4,0.432,98.9,100.6,100.6,0.518,109.3
2009-10,New Jersey Nets,0.146,-9.6,-9.8,-10.0,0.429,98.1,99.3,99.3,0.509,108.0
2009-10,New Orleans Hornets,0.451,-2.4,-2.6,-2.3,0.484,105.1,106.5,106.5,0.543,107.3
2009-10,New Orleans Pelicans,0.451,-2.4,-2.6,-2.3,0.484,105.1,106.5,106.5,0.543,107.3
2009-10,New York Knicks,0.354,-4.0,-4.0,-4.0,0.474,105.2,106.4,106.4,0.547,109.1
2009-10,Oklahoma City Thunder,0.61,3.5,3.7,4.1,0.532,105.8,107.0,107.0,0.547,101.6
2009-10,Orlando Magic,0.72,7.9,8.1,9.3,0.551,109.5,110.7,110.7,0.573,100.2
2009-10,Philadelphia 76ers,0.329,-4.1,-4.2,-4.2,0.478,103.4,104.8,104.8,0.534,107.6
2009-10,Phoenix Suns,0.659,4.8,5.1,5.8,0.536,112.7,113.9,113.9,0.585,106.9
2009-10,Portland Trail Blazers,0.61,3.5,3.7,4.1,0.525,108.0,109.6,109.6,0.547,104.0
2009-10,Sacramento Kings,0.305,-4.7,-4.6,-4.8,0.467,102.4,104.4,104.4,0.528,107.2
2009-10,San Antonio Spurs,0.61,5.4,5.5,5.2,0.532,107.2,109.3,109.3,0.552,102.0
2009-10,Toronto Raptors,0.488,-2.0,-1.9,-1.6,0.489,108.6,110.2,110.2,0.564,110.2
2009-10,Utah Jazz,0.646,5.7,5.6,4.8,0.55,107.8,109.7,109.7,0.565,102.9
2009-10,Washington Wizards,0.317,-5.3,-5.1,-5.4,0.462,101.4,103.1,103.1,0.524,106.7
2010-11,Atlanta Hawks,0.537,-0.7,-0.9,-1.4,0.493,103.2,105.1,105.1,0.542,104.6
2010-11,Boston Celtics,0.683,5.7,5.9,6.2,0.558,104.0,105.5,105.5,0.561,97.8
2010-11,Brooklyn Nets,0.293,-6.8,-6.8,-6.9,0.452,100.2,102.1,102.1,0.517,107.0
2010-11,Charlotte Hornets,0.415,-4.2,-4.4,-4.0,0.48,100.8,102.8,102.8,0.528,104.8
2010-11,Charlotte Bobcats,0.415,-4.2,-4.4,-4.0,0.48,100.8,102.8,102.8,0.528,104.8
2010-11,Chicago Bulls,0.756,7.8,8.0,8.1,0.555,105.5,107.2,107.2,0.541,97.4
2010-11,Cleveland Cavaliers,0.232,-9.5,-9.6,-9.6,0.441,99.5,101.5,101.5,0.518,109.1
2010-11,Dallas Mavericks,0.695,4.4,4.6,5.3,0.538,107.6,108.4,108.4,0.565,102.3
2010-11,Denver Nuggets,0.61,4.9,4.9,4.7,0.524,109.5,111.7,111.7,0.574,104.8
2010-11,Detroit Pistons,0.366,-3.7,-4.0,-4.4,0.464,104.6,107.0,107.0,0.533,109.0
2010-11,Golden State Warriors,0.439,-2.3,-2.4,-2.1,0.472,105.5,107.1,107.1,0.544,107.6
