,Home,Away,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,Result,Date
0,Golden State Warriors,Los Angeles Clippers,-1.8973665961010275,0.0,-1.4105580717351272,0.1492592425788269,-1.308298773662683,-1.125098718283961,-0.26072152652938746,-0.9496802006380559,-1.0917888400973346,-2.0798556085515534,1.2050433618829255,1.0826964554016547,0.2037923094110124,0.7702931820827265,-1.4125943452365075,2.0180362168052395,-1.763904407681988,0.0,0.0,3.463383096578747,-3.45490079778659,-2.6408864144040933,-3.4875206100495686,-2.2025686376725515,-2.6408864144040933,2.2025686376725515,2.6408864144040933,-2.9508929903572083,-3.423806361575505,-0.7346482216230457,-2.9321407492426257,-1.4470066032948323,0.0,0.0,0.0,2.018036216805239,-1.7401015959977106,-1.4218036091674715,0.0,0.0,0.0,0.0,-3.092112190146392,0,12/25/2011
1,Chicago Bulls,Los Angeles Lakers,1.8973665961010275,0.30452057105938724,0.1306072288643637,2.1574745063666616,-1.3668793157669812,1.2305767231230822,-0.12415310787113705,1.8734600321678017,-0.3753024137834589,-0.9090759613536588,1.0880488607292436,1.2085913920762652,-1.1004784708194677,-0.08558813134252535,-0.23543239087275106,-1.0090181084026195,3.0378353687856468,-1.3776657828543497,1.4305692522220874,0.3463383096578753,-0.2221007655719948,0.28480147606318496,0.1880525819144376,-0.31095086649494913,0.28480147606318496,0.31095086649494913,-0.28480147606318496,-0.4190617264412603,0.3860173839031206,-0.32140859696008306,0.5401311906499573,-0.6138815892765953,0.1883570948647263,0.18835709486472615,-0.18507943154445228,-1.0090181084026195,-1.146419875010256,-1.0071108898269587,0.0,0.0,0.0,-0.238365647311398,-0.2898855178262245,1,12/25/2011
2,Boston Celtics,New York Knicks,-1.8973665961010275,0.0,1.1232221682335268,0.298518485157652,0.7810738947239904,-2.636950120978033,-1.986449725938192,-0.4316728184718436,-0.5458944200486674,-0.4407641024745018,-0.2339890023073645,1.3344863287508766,1.0800992398783662,1.5120569870512786,3.060621081345768,1.0090181084026195,-0.7186277216482171,-1.9593468911706309,1.9480091945151836,0.7916304220751419,-0.7896916109226491,-0.2848014760631869,-0.3590094745639262,-0.0777377166237363,-0.2848014760631869,0.0777377166237363,0.2848014760631869,-0.10476543161031507,-0.3524506548680667,2.6630998033835427,1.0545418484118212,2.850164521641338,1.520310837122432,1.5203108371224316,2.220953178533426,1.00901810840262,-0.16377426785860805,-0.3159563575927717,0.0,0.0,0.0,0.0,0.4444911273335442,0,12/25/2011
3,Dallas Mavericks,Miami Heat,-1.8973665961010275,0.0,-1.8285012041010915,0.5427608821048211,-2.128426363122872,1.7579667473186888,2.6072152652938767,-2.1583640923592182,-0.34118401253041714,-0.8264326921396901,0.8540598584218804,-1.762529113444554,-2.6493000223431618,-2.8529377114175065,1.3079577270708407,-1.8919089532549125,0.3266489643855533,-1.8368877104724664,1.8262586198579844,0.24738450689848185,-0.2467786284133279,-1.4240073803159317,-1.8805258191443757,-1.6713609074103468,-1.4240073803159317,1.6713609074103468,1.4240073803159317,-2.2524567796217743,-1.8461700969279684,3.0763394280465066,1.4660703746213128,1.666250028036474,-1.9642954178750007,-1.9642954178750007,-3.4794933130356984,-1.8919089532549125,-1.6377426785860805,-1.283572702720635,0.0,0.0,0.0,0.0,-2.029198624783569,0,12/25/2011
4,Oklahoma City Thunder,Orlando Magic,1.8973665961010275,0.21751469361384715,1.227707951325019,-1.1940739406306058,1.9917384315461732,0.8086647037665972,-1.1670392139886885,2.0720295286648502,-0.32412481190389664,0.0413216346069846,-0.9008576588833532,-1.8632450627842427,1.1616161636427715,-0.2424997054704874,0.9155704089495886,-0.2522545271006552,0.3919787572626637,0.33676274691995234,-0.3043764366429974,-0.7174150700055981,0.8637251994466476,1.2427700773666308,1.4616814321531282,1.4899729019549612,1.2427700773666308,-1.4899729019549612,-1.2427700773666308,2.0080041058643725,1.611202993682591,0.206619812331482,0.6172927893142369,1.3593092333981764,-1.6010353063501719,-1.601035306350173,-0.9624130440311518,-0.2522545271006552,2.497557584843773,1.9747272349548213,0.0,0.0,0.0,-0.2383656473113981,2.0098729235951542,1,12/25/2011
5,Chicago Bulls,Golden State Warriors,0.0,0.7209718414475671,0.7179777404519034,1.4742361280001317,-0.4530317946507079,1.1927590997397983,0.3310928539318861,1.1147425515508655,-1.7252840365515334,-1.3507340348582717,-0.7233258518113188,1.0584373580445796,0.04457275139249789,0.6183787294338379,-0.053818396375735655,1.244134171467679,-0.44629097653129823,-1.1109053265437132,0.4613946301238424,-1.1359994549777286,0.04933789567533331,0.06125857231541833,0.20191743758867955,-0.7114957214417293,0.06125857231541833,-0.059788958705669575,-0.3743921174575149,-0.5366261986685598,0.37872291372248573,-0.3992325130674842,-0.6803973047172597,-0.31473197232196315,1.522227777006394,0.9608059685778009,1.2351232681808009,1.244134171467679,-0.06595237794112196,-0.5772832507974142,-0.17694757817469586,-0.5696240651272148,-0.5691394824416092,-0.17494598855684051,-0.9030505375340756,0,12/26/2011
6,Memphis Grizzlies,San Antonio Spurs,-2.0799471766154856,0.18972943195988545,-0.17231465770845722,-2.248582377050704,1.6213769492762165,-2.5960050994336794,-3.807567820216693,1.0404263814474743,-0.9057741191895547,-0.4357206564058941,-1.2417093789427662,-0.863462055246894,1.9834874369661624,0.8966491576790655,-0.9149127383875042,3.326154621678897,-1.4075330798294807,-1.1109053265437128,1.1712325226220617,1.6311787045834052,-1.2581163397210022,-1.5804711657377897,-2.8066523824826453,-1.411327578597526,-1.5804711657377897,1.4468928006772026,1.5092682235006047,-2.299826565722399,-2.6408246416324683,-1.1355947038364014,-1.74248090232469,-0.8497763252693002,0.3138613973209062,0.315018350353378,1.5072690730341964,3.326154621678897,0.6815079053915921,0.3996576351674406,0.0,0.0,0.0,-0.024992284079548618,-2.318278991878522,0,12/26/2011
7,New Orleans Hornets,Phoenix Suns,2.0799471766154856,-0.2276753183518632,0.8328541789242075,-0.4765207686465075,1.1445013759596818,-1.2278402497321457,-1.434735700371507,-0.6193014175282587,-0.5175852109654601,0.29048043760392944,-2.0494232467987388,-0.027853614685383585,0.4011547625324817,0.2628109600093803,-2.672980353328198,-0.6093718390862104,-0.03433007511779207,0.7883844252890866,-0.8163135763729521,-0.757332969985153,0.4933789567533341,0.0,0.22210918134754748,0.5015461642949884,0.0,-0.5141850448687578,0.0,0.8241045193838596,0.02047150884986409,-3.841503959071576,-1.2612242721588232,-2.9899537370586495,-0.03138613973209061,-0.031501835035337794,0.2093429268103052,-0.6093718390862108,0.6595237794112192,0.2664384234449604,0.0,0.0,0.0,0.02499228407954857,-0.43130771941926027,1,12/26/2011
8,Houston Rockets,Orlando Magic,-1.0399735883077428,0.6830259550555866,0.05743821923615111,0.4616294946263049,-0.2861253439899208,-0.8770287498086758,0.4414571385758485,-0.9743675635777936,0.8410759678188725,0.4211966345256973,0.8679910221735829,0.41780422028075503,0.24515013265873956,0.4019461741319948,1.6504308221892223,-1.1425721982866444,0.034330075117791965,0.4658635240344603,-0.3549189462491095,-0.7864611611384275,-1.0854337048573348,0.24503428926167306,-1.0802582910994352,0.4198991142934784,0.24503428926167306,0.9327077558084448,1.415670194136228,-0.4024696490014199,-1.0440469513430688,1.9695470644662585,2.1905474200653243,1.7624990450029945,0.14123762879440774,-0.2362637627650335,-0.1046714634051526,-1.142572198286644,-0.5935714014700973,-0.3108448273524537,-0.4202504981648979,-0.5696240651272146,-0.5691394824416093,-2.349274703477572,0.4447860856511113,0,12/26/2011
9,Toronto Raptors,Cleveland Cavaliers,2.0799471766154856,-0.4932965230957038,2.0390567828834043,-1.3848884838789104,2.8612534398992064,1.1927590997397988,0.08277321348297129,1.0651984381486048,-2.3722655502583585,-2.6433719821957573,1.591316873984903,-1.4205343489545663,2.96408796760112,1.2831358635752128,2.8164960769968266,1.4472581178297492,-1.2358827042405194,3.3327159796311383,-3.3717299893665404,1.9224606161161568,-1.8748400356626689,0.808613154563522,1.8980239133335877,1.6096132714583358,0.808613154563522,-1.6501752602764794,-0.7721837422561248,2.64480055058076,1.3511195840910302,2.0671372343271988,-0.1327604497009287,2.864060948129864,-0.03138613973209059,-0.031501835035337766,0.921108877965343,1.4472581178297497,3.121745889213101,2.6865874364033475,0.0,0.0,0.0,0.049984568159097235,2.9652405710074112,1,12/26/2011
10,Philadelphia 76ers,Portland Trail Blazers,-2.0799471766154856,0.15178354556790796,0.11487643847230415,-1.9209743486062296,1.6690645066078702,-0.3157303499311233,0.02759107116099041,-0.4376396683866359,-0.5822833623361428,-0.5373888095672693,0.07233258518113195,-2.1725819454599256,1.1588915362049497,-0.3864867058961486,-0.4843655673816196,2.0312394636207007,-1.6821736807718182,0.35835655694958485,-0.3549189462491096,1.805947851503056,-1.406130026747002,-0.3552997194294265,-0.7975738784752839,-0.4898823000090592,-0.3552997194294265,0.5022272531276246,0.3392928564458733,-0.8049392980028398,-0.5936737566460587,-0.665387521779141,-1.5765303401985291,-0.25178557785757016,-1.3966832180780313,-1.4018316590725302,-0.5861601950688546,2.0312394636207007,1.560872944606551,1.4432081269935328,0.0,0.0,0.0,-0.02499228407954868,-0.7278317765200016,0,12/26/2011
11,Indiana Pacers,Detroit Pistons,2.0799471766154856,-0.22767531835186305,1.5221128097580356,1.8465179785052157,0.1907502293266139,-0.03508114999234718,-0.6345946367027824,0.8174778711373015,0.43132100913788335,0.6100089189682517,-0.6871595592207528,2.757507853852984,0.91374140354621,2.1643255530184318,0.5561234292159334,-1.4726486111250083,1.5105233051828568,0.358356556949585,-0.4259027354989311,0.26215372037947554,-0.3453652697273336,1.5069608789592883,2.7056936636883053,1.562957814314617,1.5069608789592883,-1.6023440933119453,-1.4390697014773215,2.5681396650566795,2.517995588533284,-0.04435916811860946,1.2612242721588232,0.2832587750897664,2.2598020607105225,2.26813212254432,2.5539837070857225,-1.4726486111250081,0.021984125980374136,-0.11101600976873227,0.0,0.0,0.0,0.02499228407954868,2.345235724342225,1,12/26/2011
