SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
22008,1610612747,LAL,Los Angeles Lakers,0020800003,2008-10-28,LAL vs. POR,W,241,96,37,79,0.468,7,10,0.7,15,18,0.833,9,40,49,19,8,7,15,17,20.0
22008,1610612747,LAL,Los Angeles Lakers,0020800015,2008-10-29,LAL @ LAC,W,239,117,41,80,0.513,10,19,0.526,25,33,0.758,14,37,51,28,7,3,16,19,38.0
22008,1610612747,LAL,Los Angeles Lakers,0020800037,2008-11-01,LAL @ DEN,W,240,104,33,87,0.379,6,17,0.353,32,43,0.744,15,38,53,18,8,5,15,25,7.0
22008,1610612747,LAL,Los Angeles Lakers,0020800063,2008-11-05,LAL vs. LAC,W,240,106,33,85,0.388,8,22,0.364,32,45,0.711,15,39,54,14,12,9,12,17,18.0
22008,1610612747,LAL,Los Angeles Lakers,0020800092,2008-11-09,LAL vs. HOU,W,238,111,42,79,0.532,9,17,0.529,18,23,0.783,14,36,50,26,13,10,18,19,29.0
22008,1610612747,LAL,Los Angeles Lakers,0020800102,2008-11-11,LAL @ DAL,W,240,106,42,95,0.442,2,13,0.154,20,26,0.769,20,28,48,16,13,5,15,19,7.0
22008,1610612747,LAL,Los Angeles Lakers,0020800112,2008-11-12,LAL @ NOH,W,239,93,32,78,0.41,6,16,0.375,23,28,0.821,9,31,40,20,11,4,9,19,7.0
22008,1610612747,LAL,Los Angeles Lakers,0020800131,2008-11-14,LAL vs. DET,L,240,95,40,95,0.421,4,19,0.211,11,16,0.688,16,27,43,24,8,5,11,30,-11.0
22008,1610612747,LAL,Los Angeles Lakers,0020800158,2008-11-18,LAL vs. CHI,W,239,116,46,98,0.469,5,15,0.333,19,25,0.76,14,29,43,27,16,11,15,24,7.0
22008,1610612747,LAL,Los Angeles Lakers,0020800170,2008-11-20,LAL @ PHX,W,241,105,42,90,0.467,10,21,0.476,11,14,0.786,9,32,41,25,6,5,7,19,13.0
22008,1610612747,LAL,Los Angeles Lakers,0020800183,2008-11-21,LAL vs. DEN,W,240,104,41,84,0.488,6,22,0.273,16,20,0.8,13,30,43,22,12,9,14,20,14.0
22008,1610612747,LAL,Los Angeles Lakers,0020800197,2008-11-23,LAL vs. SAC,W,241,118,45,87,0.517,8,14,0.571,20,28,0.714,14,32,46,28,11,3,17,16,10.0
22008,1610612747,LAL,Los Angeles Lakers,0020800209,2008-11-25,LAL vs. NJN,W,240,120,44,87,0.506,8,21,0.381,24,37,0.649,12,39,51,24,10,4,9,23,27.0
